Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
S182913\t1\tSL182913
S182914\t1\tSL182914
S182915\t1\tSL182915
S182916\t1\tSL182916
S182917\t1\tSL182917
S182918\t1\tSL182918
S182920\t1\tSL182920
S182922\t1\tSL182922
S182924\t1\tSL182924
S182928\t1\tSL182928
S182934\t1\tSL182934
S182940\t1\tSL182940
S182926\t1\tSL182926
PWR15\t1\tPWTR15-2RS
PWR1542\t1\tPWTR1542-2RS
PWR2052\t1\tPWTR2052-2RS
PWR25\t1\tPWTR25-2RS
PWR2562\t1\tPWTR2562-2RS
PWR30\t1\tPWTR30-2RS
H1515\t1\tHMK1515
H2515\t1\tHMK2515
IR101412\t1\tIR10X14X12
IR101515.5\t1\tIR10X15X15.5
IR11012030\t1\tIR110X120X30
IR11012540\t1\tIR110X125X40
IR12013030\t1\tIR120X130X30
IR12013540\t1\tIR120X135X40
IR11512\t1\tIR12X15X12
IR11512.5\t1\tIR12X15X12.5
IR11516.5\t1\tIR12X15X16.5
IR11616\t1\tIR12X16X16
IR141717\t1\tIR14X17X17
IR151812.5\t1\tIR15X18X12.5
IR151816.5\t1\tIR15X18X16.5
IR152013\t1\tIR15X20X13
IR152023\t1\tIR15X20X23
IR172016.5\t1\tIR17X20X16.5
IR172116\t1\tIR17X21X16
IR17213\t1\tIR17X22X13
IR17216\t1\tIR17X22X16
IR17218\t1\tIR17X22X18
IR17223\t1\tIR17X22X23
IR202416\t1\tIR20X24X16
IR202428.5\t1\tIR20X24X28.5
IR202512.5\t1\tIR20X25X12.5
IR202516.5\t1\tIR20X25X16.5
IR202520.5\t1\tIR20X25X20.5
IR202532\t1\tIR20X25X32
IR22820\t1\tIR22X28X20
IR22830\t1\tIR22X28X30
IR253012.5\t1\tIR25X30X12.5
IR25322\t1\tIR25X32X22
IR28317\t1\tIR28X32X17
IR28320\t1\tIR28X32X20
IR303512.5\t1\tIR30X35X12.5
IR303532\t1\tIR30X35X32
IR303722\t1\tIR30X37X22
IR33730\t1\tIR32X37X30
IR34036\t1\tIR32X40X36
IR354017\t1\tIR35X40X17
IR354020.5\t1\tIR35X40X20.5
IR35436\t1\tIR35X42X36
IR354322\t1\tIR35X43X22
IR404534\t1\tIR40X45X34
IR404822\t1\tIR40X48X22
IR455020\t1\tIR45X50X20
IR455040\t1\tIR45X50X40
IR45522\t1\tIR45X52X22
IR45540\t1\tIR45X52X40
IR455522\t1\tIR45X55X22
IR506020\t1\tIR50X60X20
IR506028\t1\tIR50X60X28
IR506040\t1\tIR50X60X40
IR556035\t1\tIR55X60X35
IR556528\t1\tIR55X65X28
IR606835\t1\tIR60X68X35
IR607025\t1\tIR60X70X25
IR607028\t1\tIR60X70X28
IR65745\t1\tIR65X72X45
IR657528\t1\tIR65X75X28
I8030\t1\tIR70X80X30
I8035\t1\tIR70X80X35
IR758525\t1\tIR75X85X25
IR71012\t1\tIR7X10X12
IR809054\t1\tIR80X90X54
IR8510035\t1\tIR85X100X35
IR8110\t1\tIR8X12X10
IR8110.5\t1\tIR8X12X10.5
IR9010036\t1\tIR90X100X36
IR9116\t1\tIR9X12X16
R4913\t1\tRNA4913
R4915\t1\tRNA4915
PWR47\t1\tPWKR47-2RS
GS81103\t1\tGS81103
GS81107\t1\tGS81107
GS81110\t1\tGS81110
GS81111\t1\tGS81111
GS81112\t1\tGS81112
GS81117\t1\tGS81117
GS81120\t1\tGS81120
GS81216\t1\tGS81216
PWR35\t1\tPWKR35-2RS
PWR40\t1\tPWKR40-2RS
R23516\t1\tRNAO22X35X16
R253716\t1\tRNAO25X37X16
R354716\t1\tRNAO35X47X16
R304017\t1\tRNAO30X40X17
R50620\t1\tRNAO50X62X20
S0515\t1\tAS0515
H414249\t1\tH414249/H414210
H913840\t1\tH913840/H913810
H913842\t1\tH913842/H913810
HH221449\t1\tHH221449/HH221410
HH221410\t1\tHH221449/HH221410
H803111\t1\tHM803149/HM803111
H803112\t1\tHM803149/HM803112
H804842\t1\tHM804842/HM804810
H807040\t1\tHM807040/HM807010
H89411\t1\tHM89449/HM89411
H318448\t1\tJHM318448/JHM318410
H318410\t1\tJHM318448/JHM318410
H522649\t1\tJHM522649/JHM522610
H522610\t1\tJHM522649/JHM522610
C140\t1\tT4CB140
C130\t1\tT4CB130
FC065\t1\tT7FC065
P12010\t1\tJP12049A/JP12010
IR809025\t1\tIR80X90X25
H0606\t1\tHK0606
UP2305\t1\tNUP2305ETN
UP2308\t1\tNUP2308ETN
UP2310\t1\tNUP2310ETN
U2314\t1\tNU2314ETN
CSCU050\t1\tCSCU050-2RS
CSCU065\t1\tCSCU065-2RS
RF35110\t1\tZARF35110-L
H3044\t1\tHM3044
R5302\t1\tLR5302-X-NPPU
PY3\t1\t204PY3
U2317\t1\tNU2317ETN
IR11614\t1\tIR12X16X14
H926749\t1\tHM926749/HM926710
H926710\t1\tHM926749/HM926710
CFS5V\t1\tCFS5V
IR202518\t1\tIR20X25X18
CU065\t1\tCSXU065-2RS
CSCU060\t1\tCSCU060-2RS
F686\t1\tSS-F686-2Z
R24\t1\tR24-2RS
U207R\t1\tNU207R
2DSCS26\t1\t30BG5220-2DSECS26
CYF\t1\t7009CYFLP5
I303516\t1\tIM303516,4R6
4R6\t1\tIM303516,4R6
GW20912\t1\tGW209PPB12
H1420\t1\tHK1420
30307D\t1\tH-E30307DJ
UP224\t1\tNUP224EW
U2217\t1\tNU2217EW
25877R\t1\tH-25877R/21
H3234\t1\tAH3234
30306D\t1\tH-E30306DJ
S0787\t1\tD-SBX0787LLSC4/L738Q1
U103\t1\tUC210L3
S045026\t1\tSL045026PP-2NR
H5025\t1\tHN5025
F50140\t1\tZKLF50140-2RS
CS20P\t1\tCSK20PC3
S184948\t1\tSL184948
W40\t1\tAXW40
U2324\t1\tNU2324EM
R631\t1\tMR63T12ZZMC3
H0508\t1\tHK0508
H0607\t1\tHK0607
H0708\t1\tHK0708
H1610\t1\tHK1610
H1714\t1\tHK1714
U226Y\t1\tNU226C3MY
V0476\t1\tD-KVE20476
IR35423\t1\tIR35X42X23
R11910\t1\tRNAO12X19X10
R1481\t1\tMR148T12ZZMC3
RU2204W\t1\tRNU2204W
SS40\t1\tSS40-2Z
RU2206\t1\tRNU2206
RU2208\t1\tRNU2208
RU2209\t1\tRNU2209
RU2210\t1\tRNU2210
D050\t1\tT2ED050
IR12013528\t1\tIR120X135X28
S20GW\t1\tSMT20GWUU
D49\t1\t40BD49
U1026\t1\tNU1026M/С3
F61800\t1\tF61800-2Z
S6006\t1\tS6006-2RS
H11612\t1\tHK12X16X12
S634\t1\tS634-2Z
S203\t1\tSB203
CS35\t1\tCSK35PPC3
F40\t1\tLMF40UU
S16005\t1\tS16005-2RS
IR12013545\t1\tIR120X135X45
H0622\t1\tKH0622PP
H030\t1\tHC30302JRRS
D3267W\t1\tDAC3267W-2CS35
2CS35\t1\tDAC3267W-2CS35
D4584W\t1\tDAC4584W-10ACS71
10S71\t1\tDAC4584W-10ACS71
R4554\t1\t1R45X54,5X19
R404516.5\t1\t1R40X45X16.5
R204\t1\tRNAB204
S6306\t1\tS6306-2RS
P797735\t1\tNP797735-99401
CS309\t1\tCS309LLU
D552412W18C01\t1\t35BD5524T12DDWA18C01
215**\t1\t41BWK03E-Y-2CP15**
406C103**\t1\tZA-40BWD16CA103**
43D06C133**\t1\tZA-43BWD06BCA133**
SC0405US23P1\t1\tTM-SC04B05LUACS23PX1/L588
